"","year","SPCSPI","IR","CPI","Real_1yr","real_pc_consumption","real_SP_return"
"105",1993,435.23,3.44,142.6,1.00892913816689,21921.1970694889,0.0881911172773942
"106",1994,472.99,4.35,146.2,1.01503459747172,22467.6955149957,-0.0161117822988105
"107",1995,465.25,6.45,150.3,1.03623283678756,22802.9768781791,0.314407861949534
"108",1996,614.42,5.68,154.4,1.02558089252043,23325.448437975,0.23375671692216
"109",1997,766.22,5.78,159.1,1.04143551980198,23898.9148513691,0.257754620147614
"110",1998,963.36,5.68,161.6,1.03943323189288,24861.1282110706,0.291502969470921
"111",1999,1248.77,5.31,164.3,1.02502565165877,25922.5713140108,0.124170657860985
"112",2000,1425.59,6.61,168.8,1.02774231867504,26939.6238841696,-0.0858105102928336
"113",2001,1335.63,4.63,175.1,1.03448407679277,27388.9391294594,-0.144302094639161
"114",2002,1140.21,1.85,177.1,0.992715189873418,27848.5011542935,-0.220473710205948
"115",2003,895.84,1.18,181.7,0.992678509719222,28368.6869902899,0.259352607078092
"116",2004,1132.52,1.49,185.2,0.985629155742003,29087.2956352182,0.0297532502936361
"117",2005,1181.41,3.41,190.7,0.994467322239032,29790.2957748382,0.0589804477459628
"118",2006,1278.73,5.32,198.3,1.03178385107897,30364.4334381902,0.110144203743057
"119",2007,1424.16,5.34,202.416,1.00968375035515,30867.6098721734,-0.0533925505592295
"120",2008,1378.76,3.42,211.18,1.03438122978266,30509.0812369265,-0.351499422421661
"121",2009,865.58,1.015,211.143,0.984305018067535,29933.8546757902,0.290082386500757
